"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"1014",8,8.07,7.96,8.46,8.62,"Male"
"1015",7.59,7.48,7.41,7.18,7.92,"Male"
"1016",6.7,7.34,7.11,7.32,7.35,"Male"
"1017",7.59,7.31,7.11,7.68,7.65,"Male"
"1018",7.07,6.38,5.3,5.43,4.77,"Male"
"1019",6.44,6.48,6.78,6.29,5.81,"Male"
"1020",7.19,7,6.74,7.04,7.04,"Male"
"1021",6.81,6.38,5.19,5.46,NA,"Female"
"1022",6.63,7.03,7,6.75,7.38,"Female"
"1023",7.33,7.34,7.22,7.25,7.08,"Male"
"1024",7.15,7.79,7.41,NA,7.5,"Female"
"1025",7,7.41,7.15,7.04,7.81,"Male"
"1026",7.48,7.55,7.67,7.39,8.65,"Female"
"1027",7.3,6.41,6.59,7.11,7.38,"Male"
"1028",6.3,6.28,5.89,5.71,6.5,"Male"
"1029",7.04,7.1,6.81,7,6.92,"Female"
"1030",6.7,6.81,6.52,5.39,7,"Male"
