"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"152",6.96,6.41,6.33,5.57,5.35,"Male"
"153",7,6.34,6.07,6.14,7,"Female"
"154",6.26,5.55,6.15,5.04,5.08,"Male"
"155",7.22,6.76,7.48,7.93,7.77,"Male"
"156",6.41,6.48,6.41,6.68,7.08,"Male"
"157",5.96,6.1,6.07,5.36,5.12,"Male"
"158",7.19,7.97,7.3,8.04,8.15,"Male"
"159",7.14,7.79,6.93,7.64,8.65,"Male"
"160",7.19,7.1,6.7,7.36,7.38,"Male"
"161",6.85,6.41,6.19,6.68,6.96,"Male"
"162",8,8.07,7.96,8.46,8.62,"Male"
"163",7.59,7.48,7.41,7.18,7.92,"Male"
"164",6.7,7.34,7.11,7.32,7.35,"Male"
"165",7.59,7.31,7.11,7.68,7.65,"Male"
"166",7.07,6.38,5.3,5.43,4.77,"Male"
"167",6.44,6.48,6.78,6.29,5.81,"Male"
"168",7.19,7,6.74,7.04,7.04,"Male"
"169",6.81,6.38,5.19,5.46,NA,"Female"
"170",6.63,7.03,7,6.75,7.38,"Female"
"171",7.33,7.34,7.22,7.25,7.08,"Male"
"172",7.15,7.79,7.41,NA,7.5,"Female"
"173",7,7.41,7.15,7.04,7.81,"Male"
"174",7.48,7.55,7.67,7.39,8.65,"Female"
"175",7.3,6.41,6.59,7.11,7.38,"Male"
"176",6.3,6.28,5.89,5.71,6.5,"Male"
"177",7.04,7.1,6.81,7,6.92,"Female"
"178",6.7,6.81,6.52,5.39,7,"Male"
"179",8.7,7.83,7.56,8.11,8.07,"Male"
"180",6.81,7.07,5.7,6.29,8.07,"Male"
"181",6.37,5.59,6.33,7.07,7.81,"Female"
"182",6.11,6.55,5.56,6.86,7,"Male"
"183",7.89,8.72,8.19,8.54,9.11,"Male"
"184",7.89,7.97,6.81,8.54,8,"Male"
"185",7.37,5.86,7,7.82,8.21,"Female"
"186",7.48,7.69,7.11,7.93,8.21,"Female"
"187",9.15,8.86,8.34,9.04,9.19,"Male"
"188",7.19,7.45,6.63,7.04,7.79,"Male"
"189",6.85,7.41,6.33,6.39,NA,"Male"
"190",6.44,6.14,6.19,6.82,7.43,"Male"
"191",6.56,6.14,6.33,6.75,7.14,"Female"
"192",8,7.9,7.33,7.47,8.07,"Female"
"193",7.15,6.34,6.56,6.68,6.54,"Female"
"194",7.3,7.07,6.67,6,6.11,"Female"
"195",8.44,7.28,7.96,8,8.29,"Female"
"196",6,5.93,3.96,5.43,6.25,"Male"
"197",5.78,6.28,4.3,6.43,6.75,"Male"
"198",6.37,5.9,5.81,6.04,6.64,"Male"
"199",6.19,6.62,6.3,6.54,7.43,"Male"
"200",6.74,6.72,7.04,7.93,8.32,"Male"
"201",5.52,5.72,6.07,7.11,7.79,"Male"
"202",6.3,6.48,5.63,6.21,6.39,"Male"
"203",6.89,6.69,5.67,6.07,7.39,"Male"
"204",7,7.41,6.37,6.57,7.79,"Male"
"205",6.07,6.07,5.89,6.54,7.81,"Male"
"206",7.11,7.34,6.85,7.96,8.14,"Male"
"207",9.15,9.21,9.59,9.31,9.46,"Female"
"208",7.78,6.86,7.26,7.82,8.36,"Male"
"209",7.59,7.76,7,8.32,8.21,"Female"
"210",7.11,7.41,7,7.32,8.32,"Male"
"211",6.26,6,6.07,5.36,6.21,"Male"
"212",8.3,7.97,8.33,8.29,8.61,"Male"
"213",6.96,5.72,6.33,7.18,NA,"Male"
"214",6.96,6.24,6.85,7.21,7.71,"Male"
"215",8.22,8.76,7.74,8.46,8.38,"Female"
"216",7.15,6.79,6.75,6.78,6.62,"Male"
"217",7.07,7.66,7.22,7.86,7.31,"Female"
"218",7.52,7.82,7.67,8.21,8.38,"Male"
"219",6.33,6.76,5.7,5.18,5.31,"Male"
"220",7.33,6.62,6.26,6.33,6.81,"Male"
"221",7.89,7.97,7.59,8.25,9.35,"Male"
"222",6.44,6.43,6.52,7.04,6.62,"Male"
"223",6.96,6.41,6.33,5.57,5.35,"Male"
"224",7,6.34,6.07,6.14,7,"Female"
"225",6.26,5.55,6.15,5.04,5.08,"Male"
"226",7.22,6.76,7.48,7.93,7.77,"Male"
"227",6.41,6.48,6.41,6.68,7.08,"Male"
"228",5.96,6.1,6.07,5.36,5.12,"Male"
"229",7.19,7.97,7.3,8.04,8.15,"Male"
"230",7.14,7.79,6.93,7.64,8.65,"Male"
"231",7.19,7.1,6.7,7.36,7.38,"Male"
"232",6.85,6.41,6.19,6.68,6.96,"Male"
"233",8,8.07,7.96,8.46,8.62,"Male"
"234",7.59,7.48,7.41,7.18,7.92,"Male"
"235",6.7,7.34,7.11,7.32,7.35,"Male"
"236",7.59,7.31,7.11,7.68,7.65,"Male"
"237",7.07,6.38,5.3,5.43,4.77,"Male"
"238",6.44,6.48,6.78,6.29,5.81,"Male"
"239",7.19,7,6.74,7.04,7.04,"Male"
"240",6.81,6.38,5.19,5.46,NA,"Female"
"241",6.63,7.03,7,6.75,7.38,"Female"
"242",7.33,7.34,7.22,7.25,7.08,"Male"
"243",7.15,7.79,7.41,NA,7.5,"Female"
"244",7,7.41,7.15,7.04,7.81,"Male"
"245",7.48,7.55,7.67,7.39,8.65,"Female"
"246",7.3,6.41,6.59,7.11,7.38,"Male"
"247",6.3,6.28,5.89,5.71,6.5,"Male"
"248",7.04,7.1,6.81,7,6.92,"Female"
"249",6.7,6.81,6.52,5.39,7,"Male"
"250",8.7,7.83,7.56,8.11,8.07,"Male"
"251",6.81,7.07,5.7,6.29,8.07,"Male"
"252",6.37,5.59,6.33,7.07,7.81,"Female"
"253",6.11,6.55,5.56,6.86,7,"Male"
"254",7.89,8.72,8.19,8.54,9.11,"Male"
"255",7.89,7.97,6.81,8.54,8,"Male"
"256",7.37,5.86,7,7.82,8.21,"Female"
"257",7.48,7.69,7.11,7.93,8.21,"Female"
"258",9.15,8.86,8.34,9.04,9.19,"Male"
"259",7.19,7.45,6.63,7.04,7.79,"Male"
"260",6.85,7.41,6.33,6.39,NA,"Male"
"261",6.44,6.14,6.19,6.82,7.43,"Male"
"262",6.56,6.14,6.33,6.75,7.14,"Female"
"263",8,7.9,7.33,7.47,8.07,"Female"
"264",7.15,6.34,6.56,6.68,6.54,"Female"
"265",7.3,7.07,6.67,6,6.11,"Female"
"266",8.44,7.28,7.96,8,8.29,"Female"
"267",6,5.93,3.96,5.43,6.25,"Male"
"268",5.78,6.28,4.3,6.43,6.75,"Male"
"269",6.37,5.9,5.81,6.04,6.64,"Male"
"270",6.19,6.62,6.3,6.54,7.43,"Male"
"271",6.74,6.72,7.04,7.93,8.32,"Male"
"272",5.52,5.72,6.07,7.11,7.79,"Male"
"273",6.3,6.48,5.63,6.21,6.39,"Male"
"274",6.89,6.69,5.67,6.07,7.39,"Male"
"275",7,7.41,6.37,6.57,7.79,"Male"
"276",6.07,6.07,5.89,6.54,7.81,"Male"
"277",7.11,7.34,6.85,7.96,8.14,"Male"
"278",9.15,9.21,9.59,9.31,9.46,"Female"
"279",7.78,6.86,7.26,7.82,8.36,"Male"
"280",7.59,7.76,7,8.32,8.21,"Female"
"281",7.11,7.41,7,7.32,8.32,"Male"
"282",6.26,6,6.07,5.36,6.21,"Male"
"283",8.3,7.97,8.33,8.29,8.61,"Male"
"284",6.96,5.72,6.33,7.18,NA,"Male"
